List,Syns
[2],"[['Elephantiasis'], ['elephantiasis', 'Elephantiasis'], ['podoconiosis']]"
"[1, 0]","[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['renal-retinal syndrome', 'Senior-Loken syndrome', 'Loken Senior syndrome']]"
"[1, 0]","[['nervous system disease'], ['AHC', 'alternating hemiplegia of childhood']]"
[0],"[['Timothy syndrome'], ['familial periodic paralysis'], ['Westphal disease', 'Hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'familial hypokalemic periodic paralysis', 'Hypokalemic familial periodic paralysis', 'Periodic paralysis I'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[['diversion colitis'], ['chemical colitis']]"
"[1, 0]","[['jejunoileitis'], [""upper GI Crohn's disease"", ""gastroduodenal Crohn's disease""]]"
"[1, 0]","[['Peters anomaly'], ['cornea plana', 'flat cornea']]"
"[1, 0]","[['umbilical hernia'], ['omphalocele', 'omphalocoele']]"
[1],"[['tethered spinal cord syndrome', 'spinal dysraphism'], ['myelomeningocele'], ['spina bifida']]"
"[1, 0]","[['FHH', 'familial benign hypercalcemia', 'familial hypocalciuric hypercalcemia', 'FBH', 'familial benign hypocalciuric hypercalcemia', 'FBHH'], ['calcium metabolism disease']]"
[6],"[['wet beriberi'], ['beriberi'], ['Beriberi'], ['Beriberi'], ['Beriberi'], ['dry beriberi'], ['thiamine deficiency disease']]"
"[1, 0]","[['iron disorder', 'Iron disorder', 'iron metabolism disease', 'disorder of iron metabolism'], ['Bantu siderosis', 'African iron overload', 'iron overload in Africa']]"
[1],"[['Castleman disease', 'giant lymph node hyperplasia', 'angiofollicular lymph node hyperplasia', 'angiofollicular lymph hyperplasia', 'lymphoid hamartoma'], ['Kimura disease', ""Kimura's disease""], ['Angiolymphoid Cutaneous hyperplasia', 'epithelioid hemangioma of skin', 'skin epithelioid hemangioma']]"
"[1, 0]","[['dry eye syndrome', 'Tear film insufficiency'], ['Conjunctival xerosis', 'xerophthalmia']]"
[0],"[['retinal edema'], ['Optic papillitis'], ['papilledema'], ['papillitis', 'optic papillitis'], ['Papilledema']]"
"[4, 2]","[['internuclear ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['ocular motility disease', 'disorder of eye movements', 'eye movement disorder'], ['Total ophthalmoplegia', 'ophthalmoplegia', 'oculomotor paralysis'], [""Brown's (tendon) sheath syndrome"", ""Brown's tendon sheath syndrome"", ""Brown's sheath syndrome"", 'Brown tendon sheath syndrome'], ['Internuclear ophthalmoplegia']]"
"[1, 0]","[['Richter syndrome', ""Richter's syndrome""], ['chronic lymphatic leukemia', 'chronic lymphocytic leukemia', 'CLL', 'B-cell chronic lymphocytic leukemia', 'B-cell chronic lymphoid leukemia']]"
[1],"[['neuropathy', 'peripheral neuropathy'], ['Meningoencephalitis', 'meningoencephalitis'], ['polyneuropathy'], ['Other polyneuropathies'], ['critical illness polyneuropathy']]"
"[1, 0]","[['prediabetes syndrome', 'prediabetic state', 'Prediabetes'], ['Glucose: intolerance', 'glucose intolerance', 'Glucose: malabsorption', 'Malabsorption of glucose']]"
[1],"[['Focal Glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'IGA glomerulonephritis', 'IgA nephropathy', 'IgA glomerulonephritis'], ['hypersensitivity vasculitis'], ['Allergic purpura', 'Henoch-Sch?nlein purpura', 'Henoch-Sch@nlein purpura', 'Henoch-Schoenlein purpura', 'Autoimmune purpura'], ['Goodpasture syndrome', 'anti-glomerular basement membrane disease', 'anti-GBM disease']]"
"[1, 0]","[['Polyradiculopathy', 'polyradiculopathy'], ['Cauda equina syndrome']]"
[3],"[['Myxedema'], ['myxedema'], ['Myxedema'], ['hypothyroidism', 'Thyroid deficiency', 'Thyroid insufficiency']]"
[2],"[['acute myocardial infarction'], ['heart attack', 'Myocardial infarct', 'myocardial infarction'], ['coronary thrombosis', 'Coronary artery thrombosis']]"
"[1, 0]","[['chronic paranoid schizophrenia', 'Paranoid type schizophrenia', 'paranoid schizophrenia', 'Paraphrenia - late', 'Paraphrenic schizophrenia'], ['delusional disorder']]"
"[1, 0]","[[""Athlete's foot"", 'tinea pedis', 'Dermatophytosis of foot', 'ringworm of foot'], ['malignant tumor', 'malignant neoplasm', 'cancer', 'primary cancer']]"
[0],"[['geniculate ganglionitis'], ['Bell palsy', ""Bell's (facial) palsy"", ""Bell's palsy""], ['Facial Palsy', 'facial paralysis'], ['Facial droop', 'Facial weakness', 'facial weakness following cerebrovascular disease', ""Bell's palsy""], ['Facial palsy', ""Bell's palsy""], ['facial nerve disease']]"
"[1, 0]","[['Macular hole', 'macular holes'], ['retinal perforation', 'Retinal break', 'Retinal dialysis', 'Retinal tear']]"
"[1, 0]","[['tetraplegia', 'quadriplegia'], ['locked-in syndrome', 'Locked in syndrome', 'Locked-in state']]"
"[1, 0]","[['Osteochondrodysplasia syndrome', 'chondrodystrophy', 'osteochondrodysplasia', 'Cartilage Development disorder', 'Congenital anomaly of cartilage'], ['multiple epiphyseal dysplasia', 'polyepiphyseal dysplasia']]"
"[1, 0]","[['balanitis xerotica obliterans', 'Penile Lichen Sclerosus'], ['leukoplakia of penis', 'Kraurosis of penis', 'Penile Leukoplakia']]"
[0],"[['chronic duodenal ileus'], ['Duodenal Obstruction'], ['duodenal obstruction'], ['Duodenal Obstruction']]"
"[1, 0]","[['Epiphora', 'excessive tearing', 'Watering eye', 'Excessive tear production'], ['lacrimal apparatus disease']]"
"[1, 0]","[['reflex sympathetic dystrophy'], ['Algoneurodystrophy', 'algoneurodystrophy']]"
[0],"[['protozoal dysentery'], ['Sarcocystosis', 'Sarcosporidiosis'], ['sarcocystosis', 'Sarcosporidiosis']]"
[1],"[[""mushroom workers' lung""], ['Farmers lung', 'farmer lung', ""farmer's lung""], ['Mushroom-worker lung']]"
[1],"[['Foster-Kennedy syndrome'], ['optic neuropathy', 'optic nerve disorder', 'disorder of the second nerve', 'optic nerve disease'], ['Foster-Kennedy syndrome']]"
"[1, 0]","[['cherubism'], ['osteophyte', 'exostosis', 'orbital exostosis', 'bone spur', 'bony outgrowth']]"
"[1, 0]","[['choriocarcinoma', 'Chorioepithelioma'], ['malignant Placental tumor', 'placenta cancer', 'Placental tumors', 'neoplasm of placenta', 'malignant neoplasm of placenta']]"
"[1, 0]","[['communication disorder'], ['language disorder']]"
"[1, 0]","[['central nervous system vasculitis'], ['granulomatous angiitis']]"
"[1, 0]","[['osteosclerotic myeloma'], ['Isolated osseous plasmacytoma', 'solitary osseous plasmacytoma', 'Solitary plasmacytoma of bone']]"
"[1, 0]","[['Dermatosis papulosa nigra', 'dermatosis papulosa nigra'], ['seborrheic keratosis']]"
"[1, 0]","[['papillary hidradenoma'], ['Syringocystadenoma papilliferum', 'Papillary Syringadenoma', 'Papillary syringadenoma', 'syringocystadenoma papilliferum']]"
"[2, 1, 0]","[['Inflammatory liposarcoma', 'inflammatory liposarcoma'], ['atypical lipomatous tumor'], ['sclerosing liposarcoma']]"
"[1, 0]","[['labyrinthine hydrops', 'endolymphatic hydrops'], [""Mnire's vertigo"", ""Meniere's disease"", 'Meniere disease', 'Otogenic vertigo']]"
[0],"[['Other injury of abdominal aorta'], ['Aortic aneurysm and dissection', 'aortic ectasia', 'traumatic aortic aneurysm'], ['Syphilitic aneurysm of aorta'], ['Aneurysm of aorta in diseases classified elsewhere', 'syphilitic aneurysm']]"
[0],"[['Bulimia Nervosa'], ['Binge eating disorder'], ['Binge-Eating Disorder'], ['Binge eating disorder']]"
[0],"[['Other specified conditions of integument specific to newborn'], ['Circumscribed scleroderma', 'Localized scleroderma [morphea]'], ['neonatal scleroderma', 'Systemic sclerosis [scleroderma]', 'circumscribed scleroderma'], ['Circumscribed scleroderma', 'Localized scleroderma [morphea]']]"
