List,Syns
[5],"[['Other inflammatory polyneuropathies'], ['Other inflammatory polyneuropathies'], ['Inflammatory polyneuropathy'], ['Other inflammatory polyneuropathies'], ['Inflammatory polyneuropathy'], ['cefotaxime allergy']]"
"[1, 0]","[['obsolete Streptomyces somaliensis infectious disease'], ['Meningomyelitis in diseases classified elsewhere', 'Myelitis in diseases classified elsewhere']]"
[2],"[['Elephantiasis'], ['elephantiasis', 'Elephantiasis'], ['podoconiosis']]"
[0],"[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['Senior-Loken Syndrom'], ['renal-retinal syndrome', 'Senior-Loken syndrome', 'Loken Senior syndrome']]"
"[1, 0]","[['Signal Transduction, Light', 'Phototransduction', 'Light Signal Transduction'], ['Aland Island eye disease', 'FORSIUS-ERIKSSON TYPE OCULAR ALBINISM', 'Forsius-Eriksson syndrome']]"
"[1, 0]","[['Superficial foreign body of lower back and pelvis'], ['mitochondrial complex V (ATP synthase) deficiency']]"
[1],"[['Gastrointestinal Endoscopes', 'Endoscopes, Gastrointestinal'], ['proximal symphalangism', ""Cushing's symphalangism""], ['Endoscopes'], ['During endoscopic examination'], ['Self', 'Ego'], ['thrombotic thrombocytopenic purpura', ""Moschcowitz's syndrome""], ['During endoscopic examination'], ['Endoscopic Hemostasis', 'Hemostasis, Endoscopic'], ['Self-Examination', 'Examination, Self'], ['During endoscopic examination']]"
[3],"[['short QT syndrome'], ['short qt syndrome'], ['short qt syndrome 3'], ['3-hydroxynevirapine glucuronide']]"
"[1, 0]","[['Good syndrome', 'thymoma with hypogammaglobulinemia'], ['Syphilitic pericarditis', 'Other syphilitic heart involvement', 'Syphilitic pericarditisSyphilitic myocarditis', 'Syphilitic myocarditis']]"
[2],"[['Simpson-Golabi-Behmel syndrome type 2'], ['syndactyly type 2', 'synpolydactyly'], ['2-Phenyl-Benzopyran-4-Ones', 'Flavanones']]"
"[1, 0]","[['Peters anomaly'], ['cornea plana', 'flat cornea']]"
[0],"[['Phenylhydrazines'], ['punctate palmoplantar keratoderma type II'], ['punctate palmoplantar keratoderma', 'punctate palmoplantar hyperkeratosis', 'punctate keratosis palmoplantaris']]"
"[1, 0]","[['NUT midline carcinoma', 'nuclear protein in testis midline carcinoma'], ['Fibroblast Growth Factor 9', 'Glial Activating Factor']]"
[2],"[['Hermansky-Pudlak syndrome 9'], ['Hermansky-Pudlak syndrome 1'], ['Phosphatidylinositol 3-Kinase', '1-Phosphatidylinositol 3-Kinase'], ['Hermansky-Pudlak syndrome 2']]"
"[1, 0]","[['FHH', 'familial benign hypercalcemia', 'familial hypocalciuric hypercalcemia', 'FBH', 'familial benign hypocalciuric hypercalcemia', 'FBHH'], ['calcium metabolism disease']]"
"[1, 0]","[['lissencephaly 2', 'Norman-Roberts syndrome', 'lissencephaly syndrome, Norman-Roberts type'], ['Fura-2']]"
"[1, 0]","[['Sulfonamides (heterocyclic)'], ['atypical hereditary sensory neuropathy']]"
"[1, 0]","[['Osteochondrodysplasia syndrome', 'chondrodystrophy', 'osteochondrodysplasia', 'Cartilage Development disorder', 'Congenital anomaly of cartilage'], ['multiple epiphyseal dysplasia', 'polyepiphyseal dysplasia']]"
[6],"[['wet beriberi'], ['beriberi'], ['Beriberi'], ['Beriberi'], ['Beriberi'], ['dry beriberi'], ['thiamine deficiency disease']]"
"[1, 0]","[['mandibulofacial dysostosis, Guion-Almeida type', 'mandibulofacial dysostosis with microcephaly'], ['cortisone reductase deficiency', 'CORTRD']]"
"[7, 0]","[['Helium', 'Helium-4'], ['nephrotic syndrome type 19'], ['nephrotic syndrome type 12'], ['nephrotic syndrome type 13'], ['nephrotic syndrome type 4'], ['nephrotic syndrome type 6'], ['nephrotic syndrome type 15'], ['4-hydroxycyclophosphamide']]"
"[2, 1, 0]","[['nephrotic syndrome type 10'], ['N-Nitrosopyrrolidine'], [""n,n'-diacetylhydrazine"", 'diacetylhydrazine'], ['olanzapine 10-n-glucuronide'], ['olanzapine 4-n-glucuronide']]"
[1],"[['Meier-Gorlin syndrome 4'], ['Angioplasty, Laser-Assisted, Balloon', 'Laser-Assisted Angioplasty', 'Laser-Assisted Balloon Angioplasty', 'Angioplasty, Transluminal, Percutaneous, Laser', 'Angioplasty, Balloon, Laser-Assisted', 'Laser Balloon Angioplasty', 'Percutaneous Transluminal Laser Angioplasty'], ['Meier-Gorlin syndrome 6'], ['Meier-Gorlin syndrome 5'], ['Meier-Gorlin syndrome 3']]"
[2],"[['Dry eye syndrome', 'Tear film insufficiency, NOS'], ['dry eye syndrome', 'Tear film insufficiency'], ['Conjunctival xerosis', 'xerophthalmia']]"
"[4, 2]","[['internuclear ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['ocular motility disease', 'disorder of eye movements', 'eye movement disorder'], ['Total ophthalmoplegia', 'ophthalmoplegia', 'oculomotor paralysis'], [""Brown's (tendon) sheath syndrome"", ""Brown's tendon sheath syndrome"", ""Brown's sheath syndrome"", 'Brown tendon sheath syndrome'], ['Internuclear ophthalmoplegia']]"
"[1, 0]","[['Richter syndrome', ""Richter's syndrome""], ['chronic lymphatic leukemia', 'chronic lymphocytic leukemia', 'CLL', 'B-cell chronic lymphocytic leukemia', 'B-cell chronic lymphoid leukemia']]"
[2],"[['sexual sadism'], ['Sexual Sadism', 'Sadism'], ['Histidine Carboxy-Lyase', 'Histidine Decarboxylase']]"
[1],"[['Focal Glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'IGA glomerulonephritis', 'IgA nephropathy', 'IgA glomerulonephritis'], ['hypersensitivity vasculitis'], ['Allergic purpura', 'Henoch-Sch?nlein purpura', 'Henoch-Sch@nlein purpura', 'Henoch-Schoenlein purpura', 'Autoimmune purpura'], ['Goodpasture syndrome', 'anti-glomerular basement membrane disease', 'anti-GBM disease']]"
"[1, 0]","[['Polyradiculopathy', 'polyradiculopathy'], ['Cauda equina syndrome']]"
[3],"[['Myxedema'], ['myxedema'], ['Myxedema'], ['hypothyroidism', 'Thyroid deficiency', 'Thyroid insufficiency']]"
[2],"[['optic neuritis'], ['Other optic neuritis'], ['Coital incontinence']]"
[2],"[['ulnar neuropathy', 'Ulnar neuropathy'], ['ulnar nerve lesion', 'Lesion of ulnar nerve'], ['rectum carcinoma in situ', 'carcinoma in situ of rectum', 'Severe dysplasia of rectum', 'Severe Rectal Dysplasia']]"
"[1, 0]","[['Macular hole', 'macular holes'], ['retinal perforation', 'Retinal break', 'Retinal dialysis', 'Retinal tear']]"
"[1, 0]","[['tetraplegia', 'quadriplegia'], ['locked-in syndrome', 'Locked in syndrome', 'Locked-in state']]"
[1],"[['Granuloma Gangraenescens', 'Polymorphic Reticulosis', 'Lethal Midline Granuloma', 'Granuloma, Lethal Midline'], ['vaginal Muellerian papilloma', 'vaginal Mullerian papilloma'], ['Lethal midline granuloma of face', 'Lethal midline granuloma']]"
"[1, 0]","[['balanitis xerotica obliterans', 'Penile Lichen Sclerosus'], ['leukoplakia of penis', 'Kraurosis of penis', 'Penile Leukoplakia']]"
"[1, 0]","[['hepatic infarction', 'infarct of liver'], ['Liver Glycogen', 'Hepatic Glycogen']]"
"[1, 0]","[['acute paranoid reaction', 'obsolete acute psychogenic paranoid psychosis'], ['Free Association', 'Association, Free']]"
"[1, 0]","[['46, XX with streak gonads', 'Ovarian streak'], ['46 XX gonadal dysgenesis', 'ovarian dysgenesis']]"
[1],"[['Foster-Kennedy syndrome'], ['optic neuropathy', 'optic nerve disorder', 'disorder of the second nerve', 'optic nerve disease'], ['Foster-Kennedy syndrome']]"
"[1, 0]","[['Ultrasonic Mammography', 'Ultrasonography, Mammary', 'Breast Ultrasonography', 'Ultrasound Mammography', 'Mammography, Ultrasonic', 'Mammography, Ultrasound', 'Mammary Ultrasonography', 'Ultrasonography, Breast'], ['breast angiomatosis']]"
"[1, 0]","[['cherubism'], ['osteophyte', 'exostosis', 'orbital exostosis', 'bone spur', 'bony outgrowth']]"
