List,Syns
[2],"[['Elephantiasis'], ['elephantiasis', 'Elephantiasis'], ['podoconiosis']]"
[1],"[['chronic adenoiditis', 'adenoiditis'], ['Spastic tetraplegia'], ['Chronic adenoiditis'], ['Serine Endopeptidases']]"
"[1, 0]","[['Hypophosphatemia, familial', 'familial hypophosphataemia', 'obsolete familial hypophosphatemia'], ['obsolete complex genetic disease']]"
"[1, 0]","[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['renal-retinal syndrome', 'Senior-Loken syndrome', 'Loken Senior syndrome']]"
"[1, 0]","[['nervous system disease'], ['AHC', 'alternating hemiplegia of childhood']]"
[0],"[['Timothy syndrome'], ['familial periodic paralysis'], ['Westphal disease', 'Hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'familial hypokalemic periodic paralysis', 'Hypokalemic familial periodic paralysis', 'Periodic paralysis I'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[['diversion colitis'], ['chemical colitis']]"
"[1, 0]","[['Peters anomaly'], ['cornea plana', 'flat cornea']]"
"[1, 0]","[['umbilical hernia'], ['omphalocele', 'omphalocoele']]"
"[1, 0]","[['FHH', 'familial benign hypercalcemia', 'familial hypocalciuric hypercalcemia', 'FBH', 'familial benign hypocalciuric hypercalcemia', 'FBHH'], ['calcium metabolism disease']]"
[6],"[['wet beriberi'], ['beriberi'], ['Beriberi'], ['Beriberi'], ['Beriberi'], ['dry beriberi'], ['thiamine deficiency disease']]"
[3],"[['psoriasis 2'], ['Flexural psoriasis', 'Other psoriasis'], ['Flexural psoriasis', 'Other psoriasis'], ['2-oxazolidone']]"
[2],"[['Dry eye syndrome', 'Tear film insufficiency, NOS'], ['dry eye syndrome', 'Tear film insufficiency'], ['Conjunctival xerosis', 'xerophthalmia']]"
[0],"[['retinal edema'], ['Optic papillitis'], ['papilledema'], ['papillitis', 'optic papillitis'], ['Papilledema']]"
