ID,Syn
"0,ICD10_CM:C21","[""""""malignant melanoma of anal margin"""""",""""""Malignant neoplasm of anus and anal canal"""""",""""""malignant melanoma of anal skinmalignant melanoma of anal margin"""""",""""""other and unspecified malignant neoplasm of anal margin"""""",""""""malignant melanoma of anal skin""""""]"
"0,ICD10_CM:C18.7","[""""""malignant neoplasm of rectosigmoid junction"""""",""""""Malignant neoplasm of sigmoid colon"""""",""""""Malignant neoplasm of sigmoid (flexure)""""""]"
"0,ICD10_CM:C44.590","[""""""Other specified malignant neoplasm of perianal skin"""""",""""""Other specified malignant neoplasm of anal margin"""""",""""""Other specified malignant neoplasm of anal skin"""""",""""""Other specified malignant neoplasm of anal marginOther specified malignant neoplasm of perianal skin""""""]"
"0,ICD10_CM:C19","[""""""Malignant neoplasm of rectosigmoid junction"""""",""""""Malignant neoplasm of rectosigmoid (colon)"""""",""""""Malignant neoplasm of colon with rectummalignant carcinoid tumors of the colon""""""]"
"0,ICD10_CM:C18","[""""""Malignant neoplasm of colon"""""",""""""malignant carcinoid tumors of the colon""""""]"
"1,ICD10:M21.7","[""""""Unequal limb length (acquired)""""""]"
"1,ICD10_CM:M21.7","[""""""Unequal limb length (acquired)""""""]"
"2,PharmGKB:PA443562","[""""""Diseases, Bronchial"""""",""""""Disorder of bronchus"""""",""""""Disease, Bronchial"""""",""""""Disease of bronchus, NOS"""""",""""""Disease of bronchus"""""",""""""Bronchial Disease"""""",""""""Bronchial Diseases""""""]"
"2,MeSH:D001982","[""""""Bronchial Diseases""""""]"
"3,ICD10_CM:C7A.090","[""""""Malignant carcinoid tumor of the bronchus and lung""""""]"
"3,ICD10_CM:C34","[""""""malignant carcinoid tumor of the bronchus and lung"""""",""""""Kaposi's sarcoma of lung"""""",""""""Malignant neoplasm of bronchus and lung""""""]"
"4,PharmGKB:PA446876","[""""""Addiction, Substance"""""",""""""Dependence, Drug"""""",""""""Abuses, Substance"""""",""""""Drug Habituation"""""",""""""Disorder, Drug Use"""""",""""""Glue Sniffing"""""",""""""Organic Mental Disorders, Substance-Induced"""""",""""""Drug Abuse"""""",""""""Usage, Drug"""""",""""""Sniffing, Glue"""""",""""""Abuse, Substance"""""",""""""Abuse, Drug"""""",""""""Drug Dependence"""""",""""""Substance Addiction"""""",""""""Addiction, Drug"""""",""""""Drug Addiction"""""",""""""Substance Dependence"""""",""""""Substance Abuse"""""",""""""Substance-Related Disorders"""""",""""""Substance Use Disorder"""""",""""""Disorder, Substance Use"""""",""""""Organic Mental Disorders, Substance Induced"""""",""""""Drug Use Disorder"""""",""""""Drug Usage"""""",""""""Habituation, Drug"""""",""""""Drug Use Disorders"""""",""""""Substance Abuses"""""",""""""Substance Use Disorders"""""",""""""Dependence, Substance""""""]"
"4,MeSH:D019966","[""""""Substance Abuse"""""",""""""Substance-Related Disorders"""""",""""""Prescription Drug Abuse"""""",""""""Substance Dependence"""""",""""""Drug Use Disorders"""""",""""""Drug Habituation"""""",""""""Organic Mental Disorders, Substance-Induced"""""",""""""Drug Dependence"""""",""""""Drug Abuse"""""",""""""Substance Addiction"""""",""""""Drug Addiction"""""",""""""Substance Use Disorders""""""]"
"5,MeSH:D020016","[""""""Activated Protein C Resistance"""""",""""""APC Resistance""""""]"
"5,PharmGKB:PA446880","[""""""Activated Protein C Resistance"""""",""""""APC Resistance"""""",""""""Resistance to activated protein C due to Factor V R506Q"""""",""""""Resistance, APC"""""",""""""Activated protein C resistance"""""",""""""Resistance to activated protein C due to Factor V Leiden""""""]"
"6,ICD10_CM:M23.2","[""""""Old bucket-handle tear"""""",""""""Derangement of meniscus due to old tear or injury""""""]"
"6,ICD10:M23.2","[""""""Old bucket-handle tear"""""",""""""Derangement of meniscus due to old tear or injury""""""]"
"6,ICD10_CM:S83.2","[""""""old bucket-handle tear"""""",""""""Tear of meniscus, current injury""""""]"
"7,ICD10_CM:M23.202","[""""""Derangement of unspecified lateral meniscus due to old tear or injury, unspecified knee""""""]"
"7,ICD10_CM:M23.269","[""""""Derangement of other lateral meniscus due to old tear or injury, unspecified knee""""""]"
"8,ICD10_CM:C44.30","[""""""Unspecified malignant neoplasm of skin of other and unspecified parts of face""""""]"
"8,ICD10_CM:C44.3","[""""""Other and unspecified malignant neoplasm of skin of other and unspecified parts of face""""""]"
"8,ICD10_CM:C44.300","[""""""Unspecified malignant neoplasm of skin of unspecified part of face""""""]"
"8,ICD10_CM:C44.309","[""""""Unspecified malignant neoplasm of skin of other parts of face""""""]"
"9,ICD10_CM:S83.289","[""""""Other tear of lateral meniscus, current injury, unspecified knee""""""]"
"9,ICD10_CM:S83.28","[""""""Other tear of lateral meniscus, current injury""""""]"
"10,ICD10_CM:C44.601","[""""""Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder""""""]"
"10,ICD10_CM:C44.6","[""""""Other and unspecified malignant neoplasm of skin of upper limb, including shoulder""""""]"
"10,ICD10_CM:C44.60","[""""""Unspecified malignant neoplasm of skin of upper limb, including shoulder""""""]"
"11,ICD10_CM:C50.212","[""""""Malignant neoplasm of upper-inner quadrant of left female breast""""""]"
"11,ICD10_CM:C50.2","[""""""Malignant neoplasm of upper-inner quadrant of breast""""""]"
"11,ICD10_CM:C50.219","[""""""Malignant neoplasm of upper-inner quadrant of unspecified female breast""""""]"
"12,ICD10:K07.9","[""""""Dentofacial anomaly, unspecified""""""]"
"12,ICD10_CM:M26.9","[""""""Dentofacial anomaly, unspecified""""""]"
"13,ICD10_CM:S85.801","[""""""Unspecified injury of other blood vessels at lower leg level, right leg""""""]"
"13,ICD10_CM:S85.901","[""""""Unspecified injury of unspecified blood vessel at lower leg level, right leg""""""]"
"14,ICD10_CM:C55","[""""""Malignant neoplasm of uterus, part unspecified""""""]"
"14,ICD10:C55","[""""""Malignant neoplasm of uterus, part unspecified""""""]"
"15,ICD10:K10.9","[""""""Disease of jaws, unspecified""""""]"
"15,ICD10_CM:M27.9","[""""""Disease of jaws, unspecified""""""]"
"16,ICD10_CM:O01","[""""""malignant hydatidiform mole"""""",""""""chorioadenoma (destruens)"""""",""""""Hydatidiform mole""""""]"
