ID,Syn
"0,ICD10_CM:S98.1","[""""""Traumatic amputation of one toe""""""]"
"0,ICD10:S98.1","[""""""Traumatic amputation of one toe""""""]"
"1,ICD10_CM:B94.1","[""""""Sequelae of viral encephalitis""""""]"
"1,ICD10:B94.1","[""""""Sequelae of viral encephalitis""""""]"
"2,ICD10_CM:B94.2","[""""""Sequelae of viral hepatitis""""""]"
"2,ICD10:B94.2","[""""""Sequelae of viral hepatitis""""""]"
"3,ICD10_CM:S99.20","[""""""Unspecified physeal fracture of phalanx of toe""""""]"
"3,ICD10_CM:S99.209","[""""""Unspecified physeal fracture of phalanx of unspecified toe""""""]"
"3,ICD10_CM:S99.299","[""""""Other physeal fracture of phalanx of unspecified toe""""""]"
"4,MeSH:D053717","[""""""Ventilator-Associated Pneumonia"""""",""""""Pneumonia, Ventilator-Associated""""""]"
"4,PharmGKB:PA165108894","[""""""Ventilator-acquired pneumonia"""""",""""""Ventilator-associated pneumonia""""""]"
"5,ICD10_CM:M24.55","[""""""Contracture, hip""""""]"
"5,MeSH:D006616","[""""""Hip Contracture""""""]"
"6,ICD10_CM:M24.9","[""""""Joint derangement, unspecified""""""]"
"6,ICD10:M24.9","[""""""Joint derangement, unspecified""""""]"
"7,ICD10:C02","[""""""Malignant neoplasm of other and unspecified parts of tongue""""""]"
"7,ICD10_CM:C02","[""""""Malignant neoplasm of other and unspecified parts of tongue""""""]"
"8,ICD10_CM:T17.5","[""""""Foreign body in bronchus""""""]"
"8,ICD10:T17.5","[""""""Foreign body in bronchus""""""]"
"9,ICD10_CM:C05","[""""""Malignant neoplasm of palate"""""",""""""Kaposi's sarcoma of palate""""""]"
"9,ICD10_CM:C46.2","[""""""Kaposi's sarcoma of palate""""""]"
"10,ICD10:C07","[""""""Malignant neoplasm of parotid gland""""""]"
"10,ICD10_CM:C06.9","[""""""Malignant neoplasm of oral cavity NOS"""""",""""""Malignant neoplasm of oral cavity NOSMalignant neoplasm of mouth, unspecified"""""",""""""Malignant neoplasm of minor salivary gland, unspecified site"""""",""""""Malignant neoplasm of mouth, unspecified""""""]"
"10,ICD10_CM:C07","[""""""Malignant neoplasm of parotid gland""""""]"
"10,ICD10_CM:C14","[""""""Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"""""",""""""malignant neoplasm of oral cavity NOS""""""]"
"10,ICD10_CM:C08","[""""""malignant neoplasms of minor salivary glands NOSmalignant neoplasm of parotid gland"""""",""""""Malignant neoplasm of other and unspecified major salivary glands"""""",""""""e"""""",""""""w"""""",""""""malignant neoplasm of parotid gland""""""]"
"11,ICD10_CM:C32.1","[""""""Malignant neoplasm of posterior (laryngeal) surface of epiglottis"""""",""""""malignant neoplasm of anterior surface of epiglottisMalignant neoplasm of extrinsic larynx"""""",""""""Malignant neoplasm of supraglottis"""""",""""""Malignant neoplasm of extrinsic larynx"""""",""""""malignant neoplasm of anterior surface of epiglottis""""""]"
"11,ICD10_CM:C13.1","[""""""malignant neoplasm of aryepiglottic fold or interarytenoid fold, laryngeal aspectMalignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"""""",""""""malignant neoplasm of aryepiglottic fold or interarytenoid fold, laryngeal aspect"""""",""""""Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"""""",""""""Malignant neoplasm of aryepiglottic fold, marginal zone""""""]"
"11,ICD10_CM:C10.1","[""""""Malignant neoplasm of anterior surface of epiglottis"""""",""""""Malignant neoplasm of glossoepiglottic fold(s)"""""",""""""Malignant neoplasm of anterior surface of epiglottismalignant neoplasm of epiglottis (suprahyoid portion) NOS"""""",""""""malignant neoplasm of epiglottis (suprahyoid portion) NOS""""""]"
"12,PharmGKB:PA165108227","[""""""Juvenile chronic myeloid leukaemia"""""",""""""JCML - Juvenile chronic myeloid leukaemia"""""",""""""JCML - Juvenile chronic myeloid leukemia"""""",""""""Juvenile chronic myeloid leukemia""""""]"
"12,MeSH:D054429","[""""""Juvenile Chronic Myelogenous Leukemia"""""",""""""Leukemia, Juvenile Myelomonocytic"""""",""""""Juvenile Myelomonocytic Leukemia"""""",""""""Leukemia, Myelomonocytic, Juvenile""""""]"
"13,ICD10:T21.4","[""""""Corrosion of unspecified degree of trunk""""""]"
"13,ICD10_CM:T21.4","[""""""Corrosion of unspecified degree of trunk""""""]"
"14,ICD10_CM:T22.02","[""""""Burn of unspecified degree of elbow""""""]"
"14,ICD10_CM:T22.029","[""""""Burn of unspecified degree of unspecified elbow""""""]"
"15,ICD10_CM:M93","[""""""Other osteochondropathies"""""",""""""osteochondrosis of spine""""""]"
"15,ICD10_CM:M40.0","[""""""Postural kyphosis"""""",""""""osteochondrosis of spine""""""]"
"15,ICD10_CM:M42.0","[""""""Calvé's diseaseJuvenile osteochondrosis of spine"""""",""""""Scheuermann's disease"""""",""""""postural kyphosis"""""",""""""Juvenile osteochondrosis of spine""""""]"
"16,ICD10_CM:M40.20","[""""""Unspecified kyphosis""""""]"
"16,ICD10:M40.2","[""""""Other and unspecified kyphosis""""""]"
"16,ICD10_CM:M40.2","[""""""Other and unspecified kyphosis""""""]"
"17,MeSH:D055953","[""""""Microscopic Polyangiitis""""""]"
"17,PharmGKB:PA166180889","[""""""microscopic polyangiitis"""""",""""""Polyangiitides, Microscopic""""""]"
"18,ICD10_CM:C41.4","[""""""Malignant neoplasm of pelvic bones, sacrum and coccyx""""""]"
