List,Syns
[2],"[['Elephantiasis'], ['elephantiasis', 'Elephantiasis'], ['podoconiosis']]"
"[1, 0]","[['Hypophosphatemia, familial', 'familial hypophosphataemia', 'obsolete familial hypophosphatemia'], ['obsolete complex genetic disease']]"
"[1, 0]","[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['renal-retinal syndrome', 'Senior-Loken syndrome', 'Loken Senior syndrome']]"
[2],"[['Other specified myopathies'], ['Other specified myopathies'], ['Brody myopathy'], ['Other specified myopathies']]"
[3],"[['short QT syndrome'], ['short qt syndrome'], ['short qt syndrome 3'], ['3-hydroxynevirapine glucuronide']]"
"[2, 1, 0]","[['Townes-Brocks syndrome'], ['Glucose: intolerance', 'glucose intolerance', 'Glucose: malabsorption', 'Malabsorption of glucose'], ['prediabetes syndrome', 'prediabetic state', 'Prediabetes']]"
"[1, 0]","[['Good syndrome', 'thymoma with hypogammaglobulinemia'], ['Syphilitic pericarditis', 'Other syphilitic heart involvement', 'Syphilitic pericarditisSyphilitic myocarditis', 'Syphilitic myocarditis']]"
[0],"[['Timothy syndrome'], ['familial periodic paralysis'], ['Westphal disease', 'Hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'familial hypokalemic periodic paralysis', 'Hypokalemic familial periodic paralysis', 'Periodic paralysis I'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
"[1, 0]","[['chemical colitis'], ['diversion colitis']]"
"[1, 0]","[['Peters anomaly'], ['cornea plana', 'flat cornea']]"
"[1, 0]","[['acute uvulitis', 'uvulitis'], ['Social Participation']]"
[1],"[['umbilical hernia'], ['omphalocele', 'omphalocoele'], ['Herniated tissue', 'Herniation', 'Hernias', 'Hernia', 'Herniated structure', 'Enterocele'], ['Hernia', 'Enterocele']]"
"[1, 0]","[['Phenylhydrazines'], ['punctate palmoplantar keratoderma', 'punctate palmoplantar hyperkeratosis', 'punctate keratosis palmoplantaris']]"
"[1, 0]","[['FHH', 'familial benign hypercalcemia', 'familial hypocalciuric hypercalcemia', 'FBH', 'familial benign hypocalciuric hypercalcemia', 'FBHH'], ['calcium metabolism disease']]"
"[1, 0]","[['Osteochondrodysplasia syndrome', 'chondrodystrophy', 'osteochondrodysplasia', 'Cartilage Development disorder', 'Congenital anomaly of cartilage'], ['multiple epiphyseal dysplasia', 'polyepiphyseal dysplasia']]"
[6],"[['wet beriberi'], ['beriberi'], ['Beriberi'], ['Beriberi'], ['Beriberi'], ['dry beriberi'], ['thiamine deficiency disease']]"
[1],"[['Dry eye syndrome', 'Tear film insufficiency, NOS'], ['Conjunctival xerosis', 'xerophthalmia'], ['dry eye syndrome', 'Tear film insufficiency']]"
"[4, 2]","[['internuclear ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['ocular motility disease', 'disorder of eye movements', 'eye movement disorder'], ['Total ophthalmoplegia', 'ophthalmoplegia', 'oculomotor paralysis'], [""Brown's (tendon) sheath syndrome"", ""Brown's tendon sheath syndrome"", ""Brown's sheath syndrome"", 'Brown tendon sheath syndrome'], ['Internuclear ophthalmoplegia']]"
[0],"[['Auditory Pathways'], ['crossed eyes', 'Convergence in manifest squint', 'esotropia', 'Internal Strabismus'], ['monocular esotropia'], ['Monocular esotropia']]"
"[1, 0]","[['Richter syndrome', ""Richter's syndrome""], ['chronic lymphatic leukemia', 'chronic lymphocytic leukemia', 'CLL', 'B-cell chronic lymphocytic leukemia', 'B-cell chronic lymphoid leukemia']]"
"[1, 0]","[['thrombotic thrombocytopenic purpura', ""Moschcowitz's syndrome""], ['Gastrointestinal Endoscopes', 'Endoscopes, Gastrointestinal']]"
[1],"[['Focal Glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'IGA glomerulonephritis', 'IgA nephropathy', 'IgA glomerulonephritis'], ['hypersensitivity vasculitis'], ['Allergic purpura', 'Henoch-Sch?nlein purpura', 'Henoch-Sch@nlein purpura', 'Henoch-Schoenlein purpura', 'Autoimmune purpura'], ['Goodpasture syndrome', 'anti-glomerular basement membrane disease', 'anti-GBM disease']]"
"[1, 0]","[['Polyradiculopathy', 'polyradiculopathy'], ['Cauda equina syndrome']]"
[3],"[['Myxedema'], ['myxedema'], ['Myxedema'], ['hypothyroidism', 'Thyroid deficiency', 'Thyroid insufficiency']]"
[0],"[['Dermatosis papulosa nigra', 'dermatosis papulosa nigra'], ['Inflamed seborrheic keratosis'], ['seborrheic keratosis'], ['inflamed seborrheic keratosis'], ['Other seborrheic dermatitis']]"
[1],"[['Dysgammaglobulinemia', 'dysgammaglobulinemia'], ['Appendix', 'Vermiform Appendix'], ['Dysgammaglobulinemia'], ['Dysgammaglobulinaemia', 'Dysgammaglobulinemia']]"
"[1, 0]","[['Endomyometritis', 'Endometritis'], ['Other cough suppressants'], ['regular astigmatism'], ['Regular astigmatism']]"
"[2, 1]","[['Diverticulum of appendix'], ['beta thalassemia'], ['Breech extraction'], ['Bufo arenarum', 'Toad, Argentine'], ['Diverticulum of appendix']]"
"[1, 0]","[['Polymyxins', 'Polymyxin', 'Polymyxin M'], ['cutaneous diphtheria', 'Cutaneous diphtheria', 'Cutaneous Diphtheria']]"
[2],"[[""Athlete's Foot"", 'Tinea Pedis'], [""Athlete's foot"", 'tinea pedis', 'Dermatophytosis of foot', 'ringworm of foot'], ['malignant tumor', 'malignant neoplasm', 'cancer', 'primary cancer']]"
[0],"[['geniculate ganglionitis'], ['Bell palsy', ""Bell's (facial) palsy"", ""Bell's palsy""], ['Facial Palsy', 'facial paralysis'], ['Facial droop', 'Facial weakness', 'facial weakness following cerebrovascular disease', ""Bell's palsy""], ['Facial palsy', ""Bell's palsy""], ['facial nerve disease']]"
"[1, 0]","[['Macular hole', 'macular holes'], ['retinal perforation', 'Retinal break', 'Retinal dialysis', 'Retinal tear']]"
"[1, 0]","[['tetraplegia', 'quadriplegia'], ['locked-in syndrome', 'Locked in syndrome', 'Locked-in state']]"
"[3, 2]","[['substernal goiter', 'Retrosternal thyroid goiter', 'Substernal goiter'], ['Troponins', 'Troponin', 'Troponin Complex'], ['Acetic Anhydrides'], ['Coxiella burnetii']]"
"[1, 0]","[['balanitis xerotica obliterans', 'Penile Lichen Sclerosus'], ['leukoplakia of penis', 'Kraurosis of penis', 'Penile Leukoplakia']]"
[0],"[['chronic duodenal ileus'], ['Duodenal Obstruction'], ['duodenal obstruction'], ['Duodenal Obstruction']]"
"[3, 0]","[['protozoal dysentery'], ['sarcocystosis', 'Sarcosporidiosis'], ['Sarcocystosis', 'Sarcosporidiosis'], ['Genomes, Bacterial', 'Bacterial Genomes', 'Genome, Bacterial', 'Bacterial Genome']]"
[2],"[[""Mushroom-worker's lung""], [""mushroom workers' lung""], ['Farmers lung', 'farmer lung', ""farmer's lung""], ['Mushroom-worker lung']]"
[1],"[['Foster-Kennedy syndrome'], ['optic neuropathy', 'optic nerve disorder', 'disorder of the second nerve', 'optic nerve disease'], ['Foster-Kennedy syndrome']]"
"[1, 0]","[['cherubism'], ['osteophyte', 'exostosis', 'orbital exostosis', 'bone spur', 'bony outgrowth']]"
[0],"[['hypercholesteremia', 'obsolete hypercholesterolemia', 'hypercholesterolaemia'], ['Opportunistic Infections, AIDS-Related', 'HIV-Related Opportunistic Infections', 'Opportunistic Infections, HIV-Related', 'AIDS-Related Opportunistic Infections'], ['AIDS-Related Opportunistic Infections']]"
"[1, 0]","[['prostate rhabdomyosarcoma', 'Rhabdomyosarcoma of the prostate'], ['Employment, Supported', 'Supported Employment']]"
"[2, 1, 0]","[['Prisoners of War'], ['Nucleic Acids, Nucleotides, and Nucleosides'], ['encapsulated thymoma']]"
"[1, 0]","[['mixed-type liposarcoma'], ['mixed type thymoma', 'Thymoma, mixed type']]"
[3],"[['Hypoxia, Brain'], ['obsolete brain hypoxia-Ischemia'], ['brain infarction'], ['Catecholamine Receptors', 'Receptors, Catecholamines', 'Receptors, Catecholamine', 'Catecholamine Receptor']]"
"[1, 0]","[['osteosclerotic myeloma'], ['Isolated osseous plasmacytoma', 'solitary osseous plasmacytoma', 'Solitary plasmacytoma of bone']]"
[2],"[['rectum rhabdomyosarcoma', 'Rhabdomyosarcoma of rectum'], ['Rhabdomyosarcoma of the breast', 'breast rhabdomyosarcoma'], ['rectal prolapse', 'Procidentia, rectum']]"
[2],"[['dermatosclerosis', 'scleroderma'], ['circumscribed scleroderma', 'localised morphoea', 'Scleroderma, circumscribed or localized', 'Morphea', 'localized scleroderma', 'localized morphea'], ['Symbolic Interactionism']]"
"[1, 0]","[['deep angioma'], ['deep keratitis']]"
"[1, 0]","[['pleuropulmonary blastoma', 'Pleuropulmonary blastoma'], ['Post-traumatic osteoarthritis, unspecified site', 'Post-traumatic osteoarthritis NOS']]"
"[1, 0]","[['glomeruloid hemangioma', 'Glomeruloid hemangioma'], ['Volar Plate, Metacarpophalangeal', 'Metacarpophalangeal Volar Plate', 'Volar Plate, Finger', 'Volar Plate, Thumb', 'Palmar Plate']]"
"[1, 0]","[['esophageal leukoplakia', 'Leukoplakia of esophagus'], ['adenoid cystic carcinoma, esophagus', 'esophageal adenoid cystic carcinoma']]"
"[1, 0]","[['cervical adenomyoma'], ['cervical incompetence']]"
[2],"[['Infections of the genital tract in pregnancy'], ['Infections of the genital tract in pregnancy'], ['obsolete central nervous system AIDS arteritis']]"
[1],"[['Thiamin', 'Vitamin B1', 'thiamine', 'Thiamine Hcl', 'thiamine(1+)', 'Thiadoxine'], ['schizophrenia-1', 'schizophrenia'], ['Vitamin B1, plain'], ['Vitamin A, plain']]"
"[1, 0]","[['papillary hidradenoma'], ['Syringocystadenoma papilliferum', 'Papillary Syringadenoma', 'Papillary syringadenoma', 'syringocystadenoma papilliferum']]"
[1],"[['Inflammatory liposarcoma', 'inflammatory liposarcoma'], ['atypical lipomatous tumor'], ['sclerosing liposarcoma'], ['vulvar liposarcoma']]"
"[1, 0]","[['Ralstonia pickettii'], ['diaphragma sellae meningioma', 'meningioma of Diaphragm Sellae']]"
"[1, 0]","[['Rupture of synovium, ankle, foot and toes'], ['cranial pseudosarcomatous fasciitis']]"
[0],"[['pancreatic foamy gland adenocarcinoma'], ['Loss of Heterozygosity', 'Heterozygosity, Loss of', 'Allelic Loss'], ['Loss of Heterozygosity', 'Heterozygosity, Loss of', 'Heterozygosity Loss', 'Allelic Loss', 'Allelic Losses', 'LOH']]"
[0],"[['Behçet disease'], ['Xeroderma of eyelid'], ['xeroderma of eyelid'], ['Xeroderma of right upper eyelid']]"
[2],"[['Auditory Vertigo', 'Vertigo, Aural', 'Ménière Disease', ""Ménière's Vertigo"", 'Otogenic Vertigo', ""Ménière's Disease"", 'Aural Vertigo', ""Meniere's Syndrome"", 'Meniere Disease', ""Meniere's Disease""], [""Meniere's disease NOS"", ""Unspecified Meniere's disease"", 'Meniere syndrome', ""Syndrome, Meniere's"", ""Disease, Meniere's"", ""MÃ©niÃ¨re's syndrome"", ""Meniere's vertigo, NOS"", 'Otogenic vertigo', 'Vertigo, Aural', ""MÃ©niÃ¨re's syndrome, NOS"", ""Meniere's Disease"", 'Aural vertigo', 'Meniere disease', 'Menieres Syndrome', ""Meniere's Syndrome"", ""MÃ©niÃ¨re's vertigo"", 'Disease, Meniere', ""Meniere's disease, NOS"", 'Meniere Syndrome', 'Aural Vertigo', 'Auditory vertigo', ""MÃ©niÃ¨re's disease"", 'Meniere disorder', 'Meniere Disease', 'Menieres Disease'], ['labyrinthine hydrops', 'endolymphatic hydrops'], [""Mnire's vertigo"", ""Meniere's disease"", 'Meniere disease', 'Otogenic vertigo']]"
"[2, 1, 0]","[['Compact Disk Interactive', 'Interactive Compact Disk', 'CD-I'], ['Orbit Evisceration', 'Orbital Evisceration'], ['orbital sarcoma', 'orbit sarcoma']]"
[2],"[['BL leprosy', 'Borderline lepromatous leprosy'], ['BL leprosy', 'Borderline lepromatous leprosy'], ['Sulphonthal', 'Sulphental', 'Phenol Red', 'Phenolsulfonphthalein', 'Sulfonphthal']]"
[0],"[['Other injury of abdominal aorta'], ['Syphilitic aneurysm of aorta'], ['Aortic aneurysm and dissection', 'aortic ectasia', 'traumatic aortic aneurysm'], ['Aneurysm of aorta in diseases classified elsewhere', 'syphilitic aneurysm']]"
"[1, 0]","[['Granulomatous prostatitis'], ['Trichomonal prostatitis']]"
"[2, 1]","[['Effusion, shoulder'], ['Atropine Derivatives', 'Atropines'], ['Zoster conjunctivitis'], ['Osteolysis, shoulder']]"
[2],"[['Pulmonary cryptococcosis'], ['Pulmonary cryptococcosis'], ['Pulmonary tularaemia']]"
"[1, 0]","[['Other disorders of continuity of bone, humerus'], ['Malignant neoplasm of short bones of upper limb']]"
"[1, 0]","[['Unspecified sprain of left ring finger'], ['Malignant neoplasm of axillary tail of left female breast']]"
[0],"[['Extrapyramidal Tracts'], ['Major histocompatibility complex class II deficiency'], ['Major histocompatibility complex class II deficiency']]"
[2],"[['Hyperimmunoglobulin E [IgE] syndrome'], ['Hyperimmunoglobulin E [IgE] syndrome'], ['methotrexate polyglutamate']]"
